S. No.,University Name,College Name,College Type,State Name,District Name
5355,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI ANANT RAM DWIVEDI MAHAVIDYALAYA, BHITA, JASRA, (Id: C-12203)",Affiliated College,Uttar Pradesh,Allahabad
5356,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BABU SINGH COLLEGE OF LAW, SAYARA, SIRATHU, (Id: C-12061)",Affiliated College,Uttar Pradesh,Kaushambi
5357,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BABU SINGH DEGREE COLLEGE, NAWABGANJ, (Id: C-12400)",Affiliated College,Uttar Pradesh,Farrukhabad
5358,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BACHCHULAL RAMDULARI MAHAVIDYALAYA, BISWAN, (Id: C-12046)",Affiliated College,Uttar Pradesh,Sitapur
5359,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BAIJNATH SINGH MAHAVIDYALAYA, BARKHERA, SAKATPUR, (Id: C-12699)",Affiliated College,Uttar Pradesh,Hardoi
5360,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BAIJNATH SINGH MAHAVIDYALAYA, DAHINTI, SALKUPUR, (Id: C-12549)",Affiliated College,Uttar Pradesh,Hardoi
5361,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BAJRANGI MAHAVIDYALAYA, MAWAI MUKTA, NANDPUR, (Id: C-12659)",Affiliated College,Uttar Pradesh,Kanpur Dehat
5362,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BALAJI MAHARAJ MAHAVIDYALAYA, PAHUNTERA, (Id: C-12556)",Affiliated College,Uttar Pradesh,Hardoi
5363,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BANKA BIHARI MAHAVIDHYALAYA, BAGHAIPUR, (Id: C-47860)",Affiliated College,Uttar Pradesh,Auraiya
5364,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI BANKA BIHARI MAHAVIDHYALAYA, KHUMANPUR, BAGHAIPUR (Id: C-47727)",Affiliated College,Uttar Pradesh,Auraiya
5365,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI C.B. SINGH MEMORIAL SHIKSHAN SANSTHAN, JHINJHAK, (Id: C-12471)",Affiliated College,Uttar Pradesh,Kanpur Dehat
5366,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI CHANDRA PAL MAHAVIDYALAYA, HARCHANDRAPUR, (Id: C-12317)",Affiliated College,Uttar Pradesh,Rae Bareli
5367,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI CHANDRAPAL SINGH MAHAVIDYALAYA, KHERWA, BARAULA, (Id: C-12668)",Affiliated College,Uttar Pradesh,Kaushambi
5368,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI D.A. MEDICAL COLLEGE & RESEARCH CENTER, SEMRI, (Id: C-12191)",Affiliated College,Uttar Pradesh,Muzaffarnagar
