S. No.,University Name,College Name,College Type,State Name,District Name
20202,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Narheji P.G. College,Narhi, Rasra, Ballia (Id: C-13605)",Affiliated College,Uttar Pradesh,Ballia
20203,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Srinath Baba Jangali Baba Mahavidyala, Jam, Ballia (Id: C-13582)",Affiliated College,Uttar Pradesh,Ballia
20204,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Srinath Baba Mahavidyala, Esari, Salempur, Ballia (Id: C-13708)",Affiliated College,Uttar Pradesh,Ballia
20205,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Neelam Devi Mahavidyalaya, Dhaturitola, Bairria, Ballia (Id: C-13627)",Affiliated College,Uttar Pradesh,Ballia
20206,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Rakhant Baba Mahavidyalaya, Atrauli, Karmauta, Ballia (Id: C-13684)",Affiliated College,Uttar Pradesh,Ballia
20207,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Ram Chandra Mahavidyalay, Trikalpur, Garwar, Ballia (Id: C-13608)",Affiliated College,Uttar Pradesh,Ballia
20208,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Ram College of Comerse & Education, Paigamberpur, Panchkroshi Chauraha, Varanasi (Id: C-13671)",Affiliated College,Uttar Pradesh,Varanasi
20209,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Ramkaran Mahavidyalaya, Bheempura No. 1,Ballia (Id: C-13556)",Affiliated College,Uttar Pradesh,Ballia
20210,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sriram Singh Mahavidyalaya, Shivgarh, Padri, Mirzapur (Id: C-13666)",Affiliated College,Uttar Pradesh,Mirzapur
20211,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Sahdew Paudhria Ambedkar Mahila Mahavidyalaya, Manda, Rasra, Ballia (Id: C-13599)",Affiliated College,Uttar Pradesh,Ballia
20212,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Shiv Narayan Ganga Prasad Mahila Mahavidyalaya, Khanpur, Dumaria, Ballia (Id: C-13514)",Affiliated College,Uttar Pradesh,Ballia
20213,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sri Swami Nath Singh Surendra Mahavidyalaya, Dharmpur, Kazipur, Ballia (Id: C-13537)",Affiliated College,Uttar Pradesh,Ballia
20214,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","S.S.P.P.D. Mahavidyalaya, Tisuhi, Madihan, Mirzapur (Id: C-13534)",Affiliated College,Uttar Pradesh,Mirzapur
20215,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Subhash Balika Mahavidyalaya, Auri, Anpara, Sonebhadra (Id: C-13633)",Affiliated College,Uttar Pradesh,Sonbhadra
20216,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)",SUDAMA DEVI MAHILA MAHAVIDYALAYA CHANDAULI (Id: C-46475),Affiliated College,Uttar Pradesh,Chandauli
20217,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sudha Devi Mahavidyalaya, Pancharaw, Varanasi (Id: C-13568)",Affiliated College,Uttar Pradesh,Varanasi
20218,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sudhakar Mahila P.G.Colleg, Khajuri, Varanasi (Id: C-13532)",Affiliated College,Uttar Pradesh,Varanasi
20219,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sudhakar Mahila Vidhi Mahavidyalaya, Khajuri, Varanasi (Id: C-13641)",Affiliated College,Uttar Pradesh,Varanasi
20220,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sudristi Baba Mahavidyalaya, Raniganj, Ballia (Id: C-13688)",Affiliated College,Uttar Pradesh,Ballia
20221,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Sunbeem College fro women, Bhagwanpur, Varanasi (Id: C-13652)",Affiliated College,Uttar Pradesh,Varanasi
20222,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Suryanath Mahavidyalaya, Nidilpur, Chandauli (Id: C-13669)",Affiliated College,Uttar Pradesh,Varanasi
20223,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Swami Atulanand Hindu Mahavidyalaya, Parmanandpur, Shivpur, Varanasi (Id: C-13580)",Affiliated College,Uttar Pradesh,Varanasi
20224,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Swami Govindashram Mahavidyalay, Pairapur, Mirzapur (Id: C-13616)",Affiliated College,Uttar Pradesh,Mirzapur
20225,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Swami Ramnarayanacharya Mahila Mahavidyalaya, Bilthraroad, Ballia (Id: C-13589)",Affiliated College,Uttar Pradesh,Ballia
20226,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Swami Sahajanand Mahavidyalaya, Kachwan, Mirzapur (Id: C-13609)",Affiliated College,Uttar Pradesh,Mirzapur
20227,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Swami Saran Mahavidyalaya, Chandaul (Id: C-13689)",Affiliated College,Uttar Pradesh,Varanasi
20228,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Swatantrata sangram Senani Chaudhari Mahavidyalaya, Bisunpur, Baleshwar, Ballia (Id: C-13698)",Affiliated College,Uttar Pradesh,Ballia
20229,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Swatantrata Sangram Senani Vshram Singh Rajkiya Mahavidyalaya, Chunar, Mirzapur (Id: C-13662)",Affiliated College,Uttar Pradesh,Mirzapur
20230,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Swatantrata Senani Sri Prabhunarayan Singh Mahavidyalaya, Cholapur, Varanasi (Id: C-13619)",Affiliated College,Uttar Pradesh,Varanasi
20231,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Tileshwari Devi Mahavidyalaya, Gaura, Patoi, Ballia (Id: C-13583)",Affiliated College,Uttar Pradesh,Ballia
20232,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Udai Pratap College, Varanasi (Id: C-13585)",Affiliated College,Uttar Pradesh,Varanasi
20233,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)",UDASEEN SHRICHANDRA MAHAVIDYALAYA CHANDAULI (Id: C-46474),Affiliated College,Uttar Pradesh,Chandauli
20234,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Udit Narayan Rishabh Mahavidyalaya, Pindari, Ballia (Id: C-13657)",Affiliated College,Uttar Pradesh,Ballia
20235,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)",UMEDA DEVI MAHILA MAHAVIDYALAYA MIRZAPUR (Id: C-46469),Affiliated College,Uttar Pradesh,Mirzapur
20236,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Vansthli Mahavidyalaya, Ahraura, Mirzapur (Id: C-13654)",Affiliated College,Uttar Pradesh,Mirzapur
20237,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Vanvashi Mahila Mahavidyalaya, Dala, Sonebhadra (Id: C-13617)",Affiliated College,Uttar Pradesh,Sonbhadra
20238,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Varanasi Girls Degree College, Varanasi (Id: C-13509)",Affiliated College,Uttar Pradesh,Varanasi
20239,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)",VEER LORIK SHAHID ABDUL HAMEED BUDHINATH SARVODAY MAHAVIDYALAYA BALLIA (Id: C-47316),Affiliated College,Uttar Pradesh,Ballia
20240,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Veer Lorik Sughar Mahavidyalaya Vigah, Charauwa, Ballia (Id: C-13725)",Affiliated College,Uttar Pradesh,Ballia
20241,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Vikram Singh Kanya Mahavidyalaya, Nai Satti Mugalsarai, Chandauli (Id: C-13670)",Affiliated College,Uttar Pradesh,Varanasi
20242,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Vindhya Kanya Mahavidyalaya, Urmaura, Rabertsganj, Sonebhadra (Id: C-13600)",Affiliated College,Uttar Pradesh,Sonbhadra
20243,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Vindyavasini Mahila Mahavidyalaya, Mirzapur (Id: C-13518)",Affiliated College,Uttar Pradesh,Mirzapur
20244,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Vishwnath Singh Mahavidyalaya, Parasurampur, Chandauli (Id: C-13588)",Affiliated College,Uttar Pradesh,Varanasi
20245,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Vivekanand Mahavidyalaya, Semri, Ballia (Id: C-13700)",Affiliated College,Uttar Pradesh,Ballia
20246,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Yamuna Devi Mahavidyalaya, Pura, Balua, Chandauli (Id: C-13613)",Affiliated College,Uttar Pradesh,Varanasi
20247,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Yashoda Nandan Mahila Mahavidyalaya, Gaura, Madanpura, Ekail, Ballia (Id: C-13571)",Affiliated College,Uttar Pradesh,Ballia
20248,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Adi Sankara Training College, Sankar Nagar, Mattoor, Kalady, Ernakulam - 683 574 (Id: C-11799)",Affiliated College,Kerala,Ernakulam
20249,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Adi Shankara Institute of Engineering and Technology, Sankar Nagar, Mattoor, Kalady- 683 547 (Id: C-11745)",Affiliated College,Kerala,Ernakulam
20250,"Mahatma Gandhi University, Kottayam (Id: U-0262)","AI-Azhar College of Arts and Science, Perumpillichira P.O., Thodupuzha - 685 605 (Id: C-11838)",Affiliated College,Kerala,Idukki
20251,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Al- Ameen College, Edathala North P.O. Alwaye - 683 564 (Id: C-11610)",Affiliated College,Kerala,Ernakulam
20252,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Al-Azhar College of Engineering & Technology, Perumpillichira, Thodupuzha (Id: C-11801)",Affiliated College,Kerala,Idukki
20253,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Al-Azhar Training College, Perumpillichira P.O., Thodupuzha - 685 605 (Id: C-11607)",Affiliated College,Kerala,Idukki
20254,"Mahatma Gandhi University, Kottayam (Id: U-0262)","ALBERTAIN INSTITUTE OF SCIENCE & TECHNOLGY, TECHNICAL CAMPUS, ANGEL MARY NAGAR, COCHIN UNIVERSITY (Id: C-48168)",Affiliated College,Kerala,Ernakulam
20255,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Alphonsa College, Pala - 686 574 (Id: C-11593)",Affiliated College,Kerala,Kottayam
20256,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Amaljyothi College of Engineering, Kanjirappally, Koovapally PO, Kottayam-686518 (Id: C-11842)",Affiliated College,Kerala,Kottayam
20257,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Aquinas College, Edacochin, Cochin - 682 006 (Id: C-11664)",Affiliated College,Kerala,Ernakulam
20258,"Mahatma Gandhi University, Kottayam (Id: U-0262)","ARAFA COLLEGE OF ARTS & SCIENCE, PEZHAKKAPPILLY, MUVATTUPUZHA (Id: C-48293)",Affiliated College,Kerala,Ernakulam
20259,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Assumption College, Changanacherry 686 101 (Id: C-11567)",Affiliated College,Kerala,Kottayam
20260,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Auxilium College of Education, Kidangoor, P.O., Angamaly, Ernakulam (Id: C-11605)",Affiliated College,Kerala,Ernakulam
20261,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Avila College of Education, Edacochin 682 006 (Id: C-11822)",Affiliated College,Kerala,Ernakulam
20262,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Baselios Poulose Second College, Piramadom, Emakulam - 686 667 (Id: C-11817)",Affiliated College,Kerala,Ernakulam
20263,"Mahatma Gandhi University, Kottayam (Id: U-0262)","BASELIOS THOMAS I CATHOLICOSE COLLEGE OF ENGINEERING & TECHNOLOGY, SYRIAN PARK, KOOTHATTUKULAM (Id: C-48169)",Affiliated College,Kerala,Ernakulam
20264,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Baselius College, Kottayam-686 001 (Id: C-11763)",Affiliated College,Kerala,Kottayam
20265,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Baselius Poulose II Catholicose College, Piravam 686 664 (Id: C-11696)",Affiliated College,Kerala,Ernakulam
20266,"Mahatma Gandhi University, Kottayam (Id: U-0262)","B.C.M. College, Kottayam - 686 001 (Id: C-11724)",Affiliated College,Kerala,Kottayam
20267,"Mahatma Gandhi University, Kottayam (Id: U-0262)","BHARATA MATA SCHOOL OF LEGAL STUDIES, ALUVA EAST, CHUNGAMVELIL (Id: C-48294)",Affiliated College,Kerala,Ernakulam
20268,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Bharata Matha College, Thrikkakara P.O. 682 021 (Id: C-11709)",Affiliated College,Kerala,Ernakulam
20269,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Bishop Abraham Memorial College, Thuruthicaud 689 597 (Id: C-11583)",Affiliated College,Kerala,Pathanamthitta
20270,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Bishop Kurialacherry College For Women, Amalagiri P.O Kottayam 686 561 (Id: C-11616)",Affiliated College,Kerala,Kottayam
20271,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Bishop Speechly College for Advanced Studies, Pallom, Kottayam 686 007 (Id: C-11588)",Affiliated College,Kerala,Kottayam
20272,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Bishop Vayalil Memorial Holy Cross College, Cherpunkal P.O., Pala 686 584 (Id: C-11665)",Affiliated College,Kerala,Kottayam
20273,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Caarmel Engineering College, Perinadu, Ranni- 689 711 (Id: C-11812)",Affiliated College,Kerala,Pathanamthitta
20274,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Catholicate College, Pathanamthitta - 689 645 (Id: C-11644)",Affiliated College,Kerala,Pathanamthitta
20275,"Mahatma Gandhi University, Kottayam (Id: U-0262)","C.E.T. College of Management, Science & Technology, Airapuram,P.O, Perumbavoor- 683541 (Id: C-11669)",Affiliated College,Kerala,Ernakulam
20276,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Chinmaya Vidhyapeet, Warriam Road, Eranakulam- 682016 (Id: C-11787)",Affiliated College,Kerala,Ernakulam
20277,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Christ Knowledge City, Christ Nagar, Kuzhoor, Airapuram P.O, Emakulam- 683 541 (Id: C-11563)",Affiliated College,Kerala,Ernakulam
20278,"Mahatma Gandhi University, Kottayam (Id: U-0262)","C.M.S College, Kottayam - 686 001 (Id: C-11771)",Affiliated College,Kerala,Kottayam
20279,"Mahatma Gandhi University, Kottayam (Id: U-0262)","COCHIN INSTITUTE OF SCIENCE & TECHNOLOGY, ETTAPPILLY, ERNAKULAM (Id: C-48295)",Affiliated College,Kerala,Ernakulam
20280,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Science IHRD, Kuttikanam, Peerumedu, - 685 531 (Id: C-11701)",Affiliated College,Kerala,Idukki
20281,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Science IHRD, Madathil Arcade, Erattayar Road, Kattappana- 685 508 (Id: C-11824)",Affiliated College,Kerala,Idukki
20282,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Science IHRD, Mallappally West, Pathanamthitta (Id: C-11828)",Affiliated College,Kerala,Pathanamthitta
20283,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Science (IHRD), Njeezhoor P.O., Kaduthuruthy (Id: C-11784)",Affiliated College,Kerala,Kottayam
20284,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Science IHRD, Pulimoottil Bldg., Moolamattom Road, Thodupuzha 685 584 (Id: C-11832)",Affiliated College,Kerala,Idukki
20285,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Science (IHRD), Puthuppally -686034 (Id: C-11680)",Affiliated College,Kerala,Kottayam
20286,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Science, Petta, Kanjirappally, Kottayam-686507 (Id: C-11645)",Affiliated College,Kerala,Kottayam
20287,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Sciences, Anchanadu, Marayoor, Idukki (Id: C-11728)",Affiliated College,Kerala,Idukki
20288,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Sciences, Konni (Id: C-11841)",Affiliated College,Kerala,Pathanamthitta
20289,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Sciences, Nedumkandam, ldukki- 685 553 (Id: C-11636)",Affiliated College,Kerala,Idukki
20290,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Applied Sciences, Puthenvelikkara P.O, North Paravur Ernakulam- 683 594 (Id: C-11835)",Affiliated College,Kerala,Ernakulam
20291,"Mahatma Gandhi University, Kottayam (Id: U-0262)","College of Indigenous Food Technology, Anakuthi, Perinjottakkal P.O, Konni, Pathanamthitta- 689 692 (Id: C-11657)",Affiliated College,Kerala,Pathanamthitta
20292,"Mahatma Gandhi University, Kottayam (Id: U-0262)","C S I COLLEGE FOR LEGAL STUDIES, ETTUMANOOR (Id: C-48303)",Affiliated College,Kerala,Kottayam
20293,"Mahatma Gandhi University, Kottayam (Id: U-0262)","D B Pampa College, Parumala, Pathanamthitta 689 626 (Id: C-11589)",Affiliated College,Kerala,Pathanamthitta
20294,"Mahatma Gandhi University, Kottayam (Id: U-0262)","D.C. School of Management and Technology, Pullikkanam P.O., Vagamon, ldukki- 685 503 (Id: C-11820)",Affiliated College,Kerala,Idukki
20295,"Mahatma Gandhi University, Kottayam (Id: U-0262)","De Paul Institute of Science and Technology, De Paul Nagar, Angamaly South 683573 (Id: C-11656)",Affiliated College,Kerala,Ernakulam
20296,"Mahatma Gandhi University, Kottayam (Id: U-0262)","De Paul Institute Of Science & Technology, De Paul Nagar, Angamaly South P.O., Angamaly, 683 573 (Id: C-11757)",Affiliated College,Kerala,Ernakulam
20297,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Devamatha College, Kuravilangad-686633 (Id: C-11579)",Affiliated College,Kerala,Kottayam
20298,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Devaswom Board College, Keezhoor. P.O., Vaikom, Kottayam 686 605 (Id: C-11816)",Affiliated College,Kerala,Kottayam
20299,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Devaswom Board College, Thalayolaparambu-686605 (Id: C-11573)",Affiliated College,Kerala,Kottayam
20300,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Ettumanoorappan College, Ettumanoor - 686 631 (Id: C-11788)",Affiliated College,Kerala,Kottayam
20301,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Federal Institute of Science and Technology (FISAT), Hormis Nagar, Mookannoor. P.O., Angamaly, Ernakulam -683 577 (Id: C-11794)",Affiliated College,Kerala,Ernakulam
20302,"Mahatma Gandhi University, Kottayam (Id: U-0262)","FR PORUKARA CMI COLLEGE OF ADVANCED STUDIES, CHAMPAKULAM, ALAPPUZHA (Id: C-48292)",Affiliated College,Kerala,Alappuzha
20303,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Girideepam Institute of Advanced Learning, Bethany Hills, Vadavathoor P.O Kottayam-686010 (Id: C-11777)",Affiliated College,Kerala,Kottayam
20304,"Mahatma Gandhi University, Kottayam (Id: U-0262)","GOOD SHEPHERD COLLEGE, NATTAKOM (Id: C-48304)",Affiliated College,Kerala,Kottayam
20305,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt. Ayurveda College, Dhanwanthari Nagar, Tripunithura 682 301 (Id: C-11798)",Affiliated College,Kerala,Ernakulam
20306,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt. College, Kattappana - 685 508 (Id: C-11720)",Affiliated College,Kerala,Idukki
20307,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt.College,Manimalakunnu,OliyapuramP.O.,Koothattukulam- 686679 (Id: C-11711)",Affiliated College,Kerala,Ernakulam
20308,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt. College, Munnar- 685 612 (Id: C-11575)",Affiliated College,Kerala,Idukki
20309,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt. College, Nattakom, Kottayam-686013 (Id: C-11754)",Affiliated College,Kerala,Kottayam
20310,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt. College, Tripunithura - 682 301 (Id: C-11651)",Affiliated College,Kerala,Ernakulam
20311,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt. Engineering College, Painavu P.O., ldukki- 685 603 (Id: C-11790)",Affiliated College,Kerala,Idukki
20312,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt. Law College, Ernakulam 682 011 (Id: C-11785)",Affiliated College,Kerala,Ernakulam
20313,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Govt. Sanskrit College, Tripunithura -682 301 (Id: C-11679)",Affiliated College,Kerala,Ernakulam
20314,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Gurudeva Institute of Science and Technology, Vennimala, Payappady P.O, Puthuppally, Kottayam (Id: C-11747)",Affiliated College,Kerala,Kottayam
20315,"Mahatma Gandhi University, Kottayam (Id: U-0262)","HDPY College of Education, Mattupuram P.O., Mannam, Ernakulam 683 520 (Id: C-11740)",Affiliated College,Kerala,Ernakulam
20316,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Henry Baker College, Melukavu, Melukavumattom P.O.-686 652 (Id: C-11825)",Affiliated College,Kerala,Kottayam
20317,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Hillvalley College of Education for Women, Changampuzha Nagar P.O, Thrikkakara, Kochi - 682 033 (Id: C-11739)",Affiliated College,Kerala,Ernakulam
20318,"Mahatma Gandhi University, Kottayam (Id: U-0262)","H.M. Arts and Science College, Randarkara, Muvattupuzha, Ernakulam (Id: C-11614)",Affiliated College,Kerala,Ernakulam
20319,"Mahatma Gandhi University, Kottayam (Id: U-0262)","H.M.LAW COLLEGE, RANDARKARA, MUVATTUPUZHA (Id: C-48296)",Affiliated College,Kerala,Ernakulam
20320,"Mahatma Gandhi University, Kottayam (Id: U-0262)","H. M. Training College, Randarkara P.O. Muvattupuzha 686 673 (Id: C-11681)",Affiliated College,Kerala,Ernakulam
20321,"Mahatma Gandhi University, Kottayam (Id: U-0262)","HOLY CRESCENT COLLEGE OF ARCHITECTURE, SOUTH VAZHAKKULAM, ALUVA (Id: C-48170)",Affiliated College,Kerala,Ernakulam
20322,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Holy Crescent College of Education, Malipuram Nagar, South Vazhakulam P.O, Aluva-683 1 05 (Id: C-11551)",Affiliated College,Kerala,Ernakulam
20323,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Holy Cross College of Management and Technology, Puttady, Idukki 685 551 (Id: C-11814)",Affiliated College,Kerala,Idukki
20324,"Mahatma Gandhi University, Kottayam (Id: U-0262)","HOLY KINGS COLLEGE OF ENGINEERING & TECHNOLOGY, MUVATTUPUZHA (Id: C-48171)",Affiliated College,Kerala,Ernakulam
20325,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Ilahia College of Arts and Science, Pezhakkappilly P.O. Muvattupuzha -686 674 (Id: C-11823)",Affiliated College,Kerala,Ernakulam
20326,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Ilahia College of Engg. and Technology, Mulavoor P.O., Muvattupuzha, Ernakulam- 686 673 (Id: C-11722)",Affiliated College,Kerala,Ernakulam
20327,"Mahatma Gandhi University, Kottayam (Id: U-0262)","ILAHIA SCHOOL OF SCIENCE & TECHNOLOGY, PEZHAKKAPPILLY, MUVATTUPUZHA (Id: C-48172)",Affiliated College,Kerala,Ernakulam
20328,"Mahatma Gandhi University, Kottayam (Id: U-0262)","ILM COLLEGE OF ARTS & SCIENCE, METHALA, KEEZHILLAM, PERUMBAVOOR (Id: C-48298)",Affiliated College,Kerala,Ernakulam
20329,"Mahatma Gandhi University, Kottayam (Id: U-0262)","I L M COLLEGE OF ENGINEERING & TECHNOLOGY, KEEZHILLAM (Id: C-48297)",Affiliated College,Kerala,Ernakulam
20330,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Indira Gandhi College of Arts and Science, Nellikuzhi P.O., Kothamangalam - 686 691 (Id: C-11682)",Affiliated College,Kerala,Ernakulam
20331,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Indira Gandhi Institute of Engineering & Technology for Women, NelIikuzhi P.O Kothamangalam, - 686 691 (Id: C-11715)",Affiliated College,Kerala,Ernakulam
20332,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Indira Gandhi Training College, Nellikuzhi P.O., Kothamangalam, Ernakulam - 686 691 (Id: C-11635)",Affiliated College,Kerala,Ernakulam
20333,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Jai Bharath Arts and Science College, Chelakulam, Vengola P.O. Perumbavoor - 683 554 (Id: C-11597)",Affiliated College,Kerala,Ernakulam
20334,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Jaibharath College of Management & Engineering Technology, Arackappady, Vengola P.O., Perumbavoor,Kochi - 683 554 (Id: C-11758)",Affiliated College,Kerala,Ernakulam
20335,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Jai Bharath Training College, Pipe Line Junction, Thrikkakara, Ernakulam 682 021 (Id: C-11558)",Affiliated College,Kerala,Ernakulam
20336,"Mahatma Gandhi University, Kottayam (Id: U-0262)","John Paul Memorial B.Ed College, Labbakkada, Kanchiyar P.O., ldukki- 685 511 (Id: C-11712)",Affiliated College,Kerala,Kannur
20337,"Mahatma Gandhi University, Kottayam (Id: U-0262)","JPM Arts and Science College, Kanchiyar P.O., Labbakkada, Kattappana 685 511 (Id: C-11826)",Affiliated College,Kerala,Idukki
20338,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Kersari Arts & Science College, Kesari Road, North Paravur 683 513 (Id: C-11629)",Affiliated College,Kerala,Ernakulam
20339,"Mahatma Gandhi University, Kottayam (Id: U-0262)","K.M.E.A Engineering College, Kuzhivelipady, Edathala, Aluva, Ernakulam 683 561 (Id: C-11571)",Affiliated College,Kerala,Ernakulam
20340,"Mahatma Gandhi University, Kottayam (Id: U-0262)","K.M.M. College of Arts & Science, Thrikkakara. Cochin - 682 021 (Id: C-11807)",Affiliated College,Kerala,Ernakulam
20341,"Mahatma Gandhi University, Kottayam (Id: U-0262)","KMP COLLEGE OF ARTS & SCIENCE, O M ROAD, PERUMBAVOOR (Id: C-48299)",Affiliated College,Kerala,Ernakulam
